iter	RMSE
0	15.38491344
1	15.18975566
2	15.05901729
3	14.89282362
4	14.75016538
5	14.61232965
6	14.48073564
7	14.32522738
8	14.17646583
9	14.07807905
10	13.95057513
11	13.84639517
12	13.71365558
13	13.62391402
14	13.52331632
15	13.39397149
16	13.29114539
17	13.19904081
18	13.08332178
19	12.95921998
20	12.86602463
21	12.78721047
22	12.73226497
23	12.64521964
24	12.56137419
25	12.4944245
26	12.42827955
27	12.34375933
28	12.24868449
29	12.17557031
30	12.11125977
31	12.0489819
32	11.99112902
33	11.92521983
34	11.86771123
35	11.79948108
36	11.75522172
37	11.70870787
38	11.66729102
39	11.62175966
40	11.59334382
41	11.53396938
42	11.48738294
43	11.43381839
44	11.38639363
45	11.33578181
46	11.30270545
47	11.25366517
48	11.20649004
49	11.14136009
50	11.09173597
51	11.03910479
52	10.99516921
53	10.96410509
54	10.9243128
55	10.86909149
56	10.83121272
57	10.78201808
58	10.74604557
59	10.69670622
60	10.66648727
61	10.632292
62	10.61318157
63	10.59319539
64	10.57169593
65	10.55318941
66	10.52327027
67	10.50549262
68	10.4783647
69	10.46003911
70	10.45189928
71	10.42520161
72	10.40706885
73	10.38547864
74	10.36536071
75	10.35137962
76	10.32592673
77	10.31140729
78	10.28571022
79	10.256741
80	10.22902632
81	10.20734296
82	10.19596625
83	10.17073927
84	10.1600628
85	10.14188051
86	10.12759359
87	10.10916858
88	10.09018775
89	10.06381738
90	10.04870676
91	10.02388933
92	10.00915539
93	9.992703003
94	9.964962108
95	9.949153025
96	9.93793306
97	9.911886295
98	9.906028278
99	9.899869508
100	9.882206207
101	9.874239683
102	9.858849281
103	9.839209033
104	9.821347545
105	9.812675445
106	9.795939222
107	9.780901795
108	9.763844887
109	9.74418701
110	9.723612591
111	9.714121372
112	9.703984327
113	9.694915558
114	9.68258109
115	9.663941391
116	9.657908008
117	9.633707926
118	9.609787723
119	9.600436978
120	9.598624301
121	9.575634763
122	9.562448844
123	9.541584854
124	9.532085886
125	9.525936336
126	9.51589334
127	9.506191556
128	9.495137347
129	9.488281745
130	9.478789669
131	9.459984994
132	9.441756453
133	9.435091409
134	9.423559801
135	9.419154114
136	9.416227196
137	9.413398414
138	9.398943367
139	9.396349658
140	9.383546089
141	9.3777515
142	9.369005607
143	9.361325625
144	9.339109164
145	9.331872682
146	9.325270188
147	9.310372208
148	9.302966363
149	9.299918427
150	9.282153693
151	9.279048239
152	9.264443514
153	9.25177976
154	9.244582781
155	9.231423072
156	9.218698396
157	9.214991162
158	9.201266741
159	9.191591491
160	9.1780135
161	9.171276444
162	9.160634213
163	9.158102435
164	9.155672332
165	9.150322373
166	9.143694128
167	9.13270401
168	9.125874984
169	9.116483834
170	9.1011817
171	9.09208201
172	9.089240301
173	9.086739961
174	9.082948854
175	9.075010392
176	9.072598071
177	9.066641215
178	9.053151072
179	9.050774966
180	9.048352295
181	9.044826639
182	9.029424177
183	9.016020089
184	9.008079294
185	9.005768052
186	8.992843465
187	8.98383607
188	8.98057496
189	8.978313871
190	8.975740858
191	8.973053457
192	8.970813069
193	8.968597463
194	8.95999184
195	8.957681613
196	8.95182389
197	8.947927983
198	8.944866314
199	8.942786552
200	8.940715206
201	8.929425809
202	8.926805573
203	8.912129605
204	8.910145107
205	8.90818016
206	8.904807389
207	8.901220302
208	8.89794601
209	8.889501974
210	8.885989064
211	8.882584372
212	8.880652771
213	8.871817453
214	8.869383044
215	8.863587225
216	8.86117848
217	8.854072345
218	8.847481656
219	8.840959152
220	8.838616879
221	8.836301848
222	8.834013709
223	8.831726106
224	8.829480596
225	8.821620927
226	8.818440893
227	8.805217593
228	8.798858196
229	8.791637227
230	8.788548091
231	8.786353249
232	8.781649648
233	8.779881948
234	8.773965557
235	8.771829631
236	8.769716499
237	8.767680055
238	8.758729221
239	8.756728965
240	8.74720057
241	8.741984212
242	8.739998673
243	8.73069597
244	8.728655214
245	8.7197985
246	8.717873664
247	8.715165688
248	8.709659275
249	8.707010015
250	8.705031722
251	8.703198396
252	8.701254382
253	8.686500558
254	8.682426734
255	8.680519851
256	8.678026484
257	8.676153765
258	8.663650799
259	8.661913649
260	8.657359894
261	8.650550631
262	8.648711171
263	8.644708423
264	8.643011089
265	8.639272368
266	8.635176329
267	8.633383853
268	8.614954966
269	8.613172676
270	8.608684845
271	8.60692016
272	8.592279987
273	8.581373029
274	8.579120526
275	8.574548342
276	8.568764258
277	8.567038525
278	8.550609705
279	8.544013208
280	8.538071053
281	8.533212547
282	8.531616011
283	8.530038491
284	8.511219077
285	8.509563025
286	8.505887833
287	8.491551931
288	8.485330074
289	8.48367926
290	8.478872896
291	8.477249665
292	8.466228584
293	8.46462394
294	8.45207459
295	8.450502334
296	8.434030599
297	8.429621947
298	8.424303888
299	8.42276148
