iter	Passed	Remaining
0	0	136
1	0	117
2	1	106
3	1	101
4	1	98
5	2	98
6	2	96
7	2	95
8	2	93
9	3	92
10	3	90
11	3	89
12	4	89
13	4	88
14	4	87
15	4	86
16	5	86
17	5	85
18	5	85
19	6	86
20	6	85
21	6	85
22	7	85
23	7	84
24	7	84
25	7	83
26	8	83
27	8	82
28	8	82
29	9	81
30	9	81
31	9	80
32	9	80
33	10	79
34	10	79
35	10	79
36	11	79
37	11	79
38	11	79
39	12	78
40	12	78
41	12	78
42	13	78
43	13	78
44	13	77
45	14	77
46	14	77
47	14	77
48	15	77
49	15	76
50	15	76
51	16	76
52	16	76
53	16	76
54	17	75
55	17	75
56	17	75
57	18	75
58	18	75
59	18	75
60	19	75
61	19	75
62	19	75
63	20	74
64	20	74
65	20	74
66	21	73
67	21	73
68	21	72
69	22	72
70	22	71
71	22	71
72	23	71
73	23	71
74	23	71
75	24	70
76	24	70
77	24	70
78	25	70
79	25	70
80	25	70
81	26	69
82	26	69
83	26	69
84	27	69
85	27	68
86	27	68
87	28	68
88	28	67
89	28	67
90	29	66
91	29	66
92	29	65
93	29	65
94	30	65
95	30	64
96	30	64
97	30	63
98	31	63
99	31	62
100	31	62
101	32	62
102	32	61
103	32	61
104	32	61
105	33	60
106	33	60
107	33	60
108	34	59
109	34	59
110	34	58
111	34	58
112	35	58
113	35	57
114	35	57
115	35	57
116	36	56
117	36	56
118	36	56
119	37	55
120	37	55
121	37	55
122	37	54
123	38	54
124	38	53
125	38	53
126	38	53
127	39	52
128	39	52
129	39	52
130	40	51
131	40	51
132	40	50
133	40	50
134	41	50
135	41	49
136	41	49
137	41	49
138	42	48
139	42	48
140	42	48
141	43	47
142	43	47
143	43	47
144	43	46
145	44	46
146	44	46
147	44	45
148	45	45
149	45	45
150	45	44
151	45	44
152	46	44
153	46	43
154	46	43
155	46	43
156	47	42
157	47	42
158	47	42
159	47	41
160	48	41
161	48	41
162	48	40
163	48	40
164	49	40
165	49	39
166	49	39
167	49	39
168	50	38
169	50	38
170	50	38
171	51	37
172	51	37
173	51	37
174	51	37
175	52	36
176	52	36
177	52	36
178	52	35
179	53	35
180	53	35
181	53	34
182	53	34
183	54	34
184	54	33
185	54	33
186	54	33
187	55	32
188	55	32
189	55	32
190	55	31
191	56	31
192	56	31
193	56	31
194	57	30
195	57	30
196	57	30
197	57	29
198	58	29
199	58	29
200	58	28
201	58	28
202	59	28
203	59	27
204	59	27
205	60	27
206	60	27
207	60	26
208	60	26
209	61	26
210	61	25
211	61	25
212	61	25
213	62	25
214	62	24
215	62	24
216	63	24
217	63	23
218	63	23
219	64	23
220	64	23
221	64	22
222	65	22
223	65	22
224	65	21
225	65	21
226	66	21
227	66	21
228	66	20
229	67	20
230	67	20
231	67	19
232	67	19
233	68	19
234	68	18
235	68	18
236	68	18
237	69	18
238	69	17
239	69	17
240	70	17
241	70	16
242	70	16
243	70	16
244	71	15
245	71	15
246	71	15
247	71	15
248	72	14
249	72	14
250	72	14
251	72	13
252	73	13
253	73	13
254	73	13
255	74	12
256	74	12
257	74	12
258	74	11
259	75	11
260	75	11
261	75	10
262	76	10
263	76	10
264	76	10
265	76	9
266	77	9
267	77	9
268	77	8
269	77	8
270	78	8
271	78	8
272	78	7
273	78	7
274	79	7
275	79	6
276	79	6
277	79	6
278	80	6
279	80	5
280	80	5
281	81	5
282	81	4
283	81	4
284	81	4
285	82	4
286	82	3
287	82	3
288	83	3
289	83	2
290	83	2
291	84	2
292	84	2
293	84	1
294	85	1
295	85	1
296	85	0
297	85	0
298	86	0
299	86	0
